,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE
178,20200928020043,SYS$USERS,user commits,290140,3565.479,0.0
179,20200928030009,SYS$USERS,user commits,290143,3629.821,0.0
180,20200928040038,SYS$USERS,user commits,290143,3569.797,0.0
181,20200928050008,SYS$USERS,user commits,290208,3631.172,0.02
182,20200928060039,SYS$USERS,user commits,290211,3566.174,0.0
183,20200928070006,SYS$USERS,user commits,290214,3633.774,0.0
184,20200928080039,SYS$USERS,user commits,290276,3563.093,0.02
185,20200928090002,SYS$USERS,user commits,290341,3621.073,0.02
186,20200928100024,SYS$USERS,user commits,290406,3621.707,0.02
187,20200928110045,SYS$USERS,user commits,290468,3563.093,0.02
188,20200928120008,SYS$USERS,user commits,290533,3621.546,0.02
189,20200928130030,SYS$USERS,user commits,290533,3631.056,0.0
190,20200928140101,SYS$USERS,user commits,290598,3573.355,0.02
191,20200928150034,SYS$USERS,user commits,290660,3572.421,0.02
192,20200928000044,CONFOP0,workarea executions - onepass,0,,
193,20200928010016,CONFOP0,workarea executions - onepass,0,3627.158,0.0
194,20200928020043,CONFOP0,workarea executions - onepass,0,3565.479,0.0
195,20200928030009,CONFOP0,workarea executions - onepass,0,3629.821,0.0
196,20200928040038,CONFOP0,workarea executions - onepass,0,3569.797,0.0
197,20200928050008,CONFOP0,workarea executions - onepass,0,3631.172,0.0
198,20200928060039,CONFOP0,workarea executions - onepass,0,3566.174,0.0
199,20200928070006,CONFOP0,workarea executions - onepass,0,3633.774,0.0
200,20200928080039,CONFOP0,workarea executions - onepass,0,3563.093,0.0
201,20200928090002,CONFOP0,workarea executions - onepass,0,3621.073,0.0
202,20200928100024,CONFOP0,workarea executions - onepass,0,3621.707,0.0
203,20200928110045,CONFOP0,workarea executions - onepass,0,3563.093,0.0
204,20200928120008,CONFOP0,workarea executions - onepass,0,3621.546,0.0
205,20200928130030,CONFOP0,workarea executions - onepass,0,3631.056,0.0
206,20200928140101,CONFOP0,workarea executions - onepass,0,3573.355,0.0
207,20200928150034,CONFOP0,workarea executions - onepass,0,3572.421,0.0
208,20200928000044,SYS$BACKGROUND,workarea executions - onepass,0,,
209,20200928010016,SYS$BACKGROUND,workarea executions - onepass,0,3627.158,0.0
210,20200928020043,SYS$BACKGROUND,workarea executions - onepass,0,3565.479,0.0
211,20200928030009,SYS$BACKGROUND,workarea executions - onepass,0,3629.821,0.0
212,20200928040038,SYS$BACKGROUND,workarea executions - onepass,0,3569.797,0.0
213,20200928050008,SYS$BACKGROUND,workarea executions - onepass,0,3631.172,0.0
214,20200928060039,SYS$BACKGROUND,workarea executions - onepass,0,3566.174,0.0
215,20200928070006,SYS$BACKGROUND,workarea executions - onepass,0,3633.774,0.0
216,20200928080039,SYS$BACKGROUND,workarea executions - onepass,0,3563.093,0.0
217,20200928090002,SYS$BACKGROUND,workarea executions - onepass,0,3621.073,0.0
218,20200928100024,SYS$BACKGROUND,workarea executions - onepass,0,3621.707,0.0
219,20200928110045,SYS$BACKGROUND,workarea executions - onepass,0,3563.093,0.0
220,20200928120008,SYS$BACKGROUND,workarea executions - onepass,0,3621.546,0.0
221,20200928130030,SYS$BACKGROUND,workarea executions - onepass,0,3631.056,0.0
222,20200928140101,SYS$BACKGROUND,workarea executions - onepass,0,3573.355,0.0
223,20200928150034,SYS$BACKGROUND,workarea executions - onepass,0,3572.421,0.0
224,20200928000044,SYS$USERS,workarea executions - onepass,0,,
225,20200928010016,SYS$USERS,workarea executions - onepass,0,3627.158,0.0
226,20200928020043,SYS$USERS,workarea executions - onepass,0,3565.479,0.0
227,20200928030009,SYS$USERS,workarea executions - onepass,0,3629.821,0.0
228,20200928040038,SYS$USERS,workarea executions - onepass,0,3569.797,0.0
229,20200928050008,SYS$USERS,workarea executions - onepass,0,3631.172,0.0
230,20200928060039,SYS$USERS,workarea executions - onepass,0,3566.174,0.0
231,20200928070006,SYS$USERS,workarea executions - onepass,0,3633.774,0.0
232,20200928080039,SYS$USERS,workarea executions - onepass,0,3563.093,0.0
233,20200928090002,SYS$USERS,workarea executions - onepass,0,3621.073,0.0
234,20200928100024,SYS$USERS,workarea executions - onepass,0,3621.707,0.0
235,20200928110045,SYS$USERS,workarea executions - onepass,0,3563.093,0.0
236,20200928120008,SYS$USERS,workarea executions - onepass,0,3621.546,0.0
237,20200928130030,SYS$USERS,workarea executions - onepass,0,3631.056,0.0
238,20200928140101,SYS$USERS,workarea executions - onepass,0,3573.355,0.0
239,20200928150034,SYS$USERS,workarea executions - onepass,0,3572.421,0.0
240,20200928000044,CONFOP0,db block changes,252666,,
241,20200928010016,CONFOP0,db block changes,252926,3627.158,0.07
242,20200928020043,CONFOP0,db block changes,253176,3565.479,0.07
243,20200928030009,CONFOP0,db block changes,253424,3629.821,0.07
244,20200928040038,CONFOP0,db block changes,253672,3569.797,0.07
245,20200928050008,CONFOP0,db block changes,253920,3631.172,0.07
246,20200928060039,CONFOP0,db block changes,254160,3566.174,0.07
247,20200928070006,CONFOP0,db block changes,254412,3633.774,0.07
248,20200928080039,CONFOP0,db block changes,254660,3563.093,0.07
249,20200928090002,CONFOP0,db block changes,254908,3621.073,0.07
250,20200928100024,CONFOP0,db block changes,255156,3621.707,0.07
251,20200928110045,CONFOP0,db block changes,255404,3563.093,0.07
252,20200928120008,CONFOP0,db block changes,255658,3621.546,0.07
253,20200928130030,CONFOP0,db block changes,255906,3631.056,0.07
254,20200928140101,CONFOP0,db block changes,256154,3573.355,0.07
255,20200928150034,CONFOP0,db block changes,256402,3572.421,0.07
256,20200928000044,SYS$BACKGROUND,db block changes,73779929,,
257,20200928010016,SYS$BACKGROUND,db block changes,73826106,3627.158,12.73
258,20200928020043,SYS$BACKGROUND,db block changes,73869664,3565.479,12.22
259,20200928030009,SYS$BACKGROUND,db block changes,73912016,3629.821,11.67
260,20200928040038,SYS$BACKGROUND,db block changes,73954827,3569.797,11.99
261,20200928050008,SYS$BACKGROUND,db block changes,74357984,3631.172,111.03
262,20200928060039,SYS$BACKGROUND,db block changes,74411213,3566.174,14.93
263,20200928070006,SYS$BACKGROUND,db block changes,74463172,3633.774,14.3
264,20200928080039,SYS$BACKGROUND,db block changes,74508451,3563.093,12.71
265,20200928090002,SYS$BACKGROUND,db block changes,74553423,3621.073,12.42
266,20200928100024,SYS$BACKGROUND,db block changes,74601542,3621.707,13.29
267,20200928110045,SYS$BACKGROUND,db block changes,74657205,3563.093,15.62
268,20200928120008,SYS$BACKGROUND,db block changes,74701069,3621.546,12.11
269,20200928130030,SYS$BACKGROUND,db block changes,74738783,3631.056,10.39
270,20200928140101,SYS$BACKGROUND,db block changes,74779300,3573.355,11.34
271,20200928150034,SYS$BACKGROUND,db block changes,74818166,3572.421,10.88
272,20200928000044,SYS$USERS,db block changes,64016122,,
273,20200928010016,SYS$USERS,db block changes,64147655,3627.158,36.26
274,20200928020043,SYS$USERS,db block changes,64148070,3565.479,0.12
275,20200928030009,SYS$USERS,db block changes,64152871,3629.821,1.32
276,20200928040038,SYS$USERS,db block changes,64153013,3569.797,0.04
277,20200928050008,SYS$USERS,db block changes,64158295,3631.172,1.45
278,20200928060039,SYS$USERS,db block changes,64412327,3566.174,71.23
279,20200928070006,SYS$USERS,db block changes,64416969,3633.774,1.28
280,20200928080039,SYS$USERS,db block changes,64417819,3563.093,0.24
281,20200928090002,SYS$USERS,db block changes,64422858,3621.073,1.39
282,20200928100024,SYS$USERS,db block changes,64427806,3621.707,1.37
283,20200928110045,SYS$USERS,db block changes,64428696,3563.093,0.25
284,20200928120008,SYS$USERS,db block changes,64433569,3621.546,1.35
285,20200928130030,SYS$USERS,db block changes,64433758,3631.056,0.05
286,20200928140101,SYS$USERS,db block changes,64438728,3573.355,1.39
287,20200928150034,SYS$USERS,db block changes,64439626,3572.421,0.25
288,20200928000044,CONFOP0,application wait time,100868,,
